MV005109010000	131713	10192162	5754760	MV005109010000	PT01H32M	Feature Film	Color	en	Water			Watermark
MV005110790000	131748	10193521	5756120	MV005110790000	PT01H45M	Feature Film	Color	hi	Lunchbox			The Lunchbox
MV005110870000	131755	10193564	5756163	MV005110870000	PT01H23M	Feature Film	Color	en	Finding	Finding Vivian		Finding Vivian Maier
MV005111240000	131784	10193807	5756406	MV005111240000	PT01H30M	Feature Film	Color	en				Blue Ruin
MV005702240000	131960	10205026	5767635	MV005702240000	PT01H33M	Feature Film	Color	en	Week-end			Le Week-end
MV005147260000	132303	10229859	5792476	MV005147260000	PT01H17M	Feature Film	Color	en				Bears
MV005147620000	132312	10230629	5793247	MV005147620000	PT01H27M	Feature Film	Color	en	Haunted 2	Haunted Hse 2		A Haunted House 2
MV005147690000	132313	10230650	5793268	MV005147690000	PT01H41M	Feature Film	Color	en				Rio 2
MV005147790000	132314	10230693	5793311	MV005147790000	PT01H40M	Feature Film	Color	en	Heaven Is	Heaven Is-Real		Heaven Is for Real
MV005148340000	132321	10231062	5793681	MV005148340000	PT01H49M	Feature Film	Color	en	Other Wm	Other Woman		The Other Woman
MV005166390000	132477	10240130	5802753	MV005166390000		Feature Film	Color	en	Particle			Particle Fever
MV005224570000	133438	10295153	5857799	MV005224570000	PT01H39M	Feature Film	Color	en	Grand	Grand Hotel		The Grand Budapest Hotel
MV005224610000	133439	10295290	5857936	MV005224610000	PT02H18M	Feature Film	Color	en	Son			Son of God
MV005250150000	133765	10063537	5880869	MV005250150000		Feature Film	Color	en	XMen 3D	X-Men-Days 3D		X-Men: Days of Future Past 3D
MV005306560000	134600	10362839	5925514	MV005306560000	PT01H41M	Feature Film	Color and B&W	en	C Chavez			Cesar Chavez
MV005311400000	134670	10367270	5929945	MV005311400000	PT01H55M	Feature Film	Color	en				Chef
MV005311440000	134672	10367302	5929977	MV005311440000	PT01H37M	Feature Film	Color	en				Neighbors
MV005317220000	134728	10372457	5935133	MV005317220000	PT02H03M	Feature Film	Color	en	Million	Million Dollar		Million Dollar Arm
MV005323940000	134831	10379999	5942678	MV005323940000	PT01H38M	Feature Film	Color	en	Quiet One			The Quiet Ones
MV005323950000	134832	10380018	5942697	MV005323950000	PT01H49M	Feature Film	Color	en				Draft Day
MV005231720000	134879	10302530	5865180	MV005231720000	PT01H56M	Feature Film	Color	fr-CA	On My			On My Way
MV005330820000	134912	10387739	5950424	MV005330820000	PT01H30M	Feature Film	Color	en	Brick Mns			Brick Mansions
MV005343090000	135111	9957538	5965932	MV005343090000	PT02H21M	Feature Film	Color	en	Spidr 2 3D	Amaz Spider-Man 2 3D		The Amazing Spider-Man 2 3D
MV005343100000	135112	9957538	5965933	MV005343100000	PT02H21M	Feature Film	Color	en		SpidrMan IMX	Amazing Spider-Man 2: IMAX 3D	The Amazing Spider-Man 2: An IMAX 3D Experience
MV005349340000	135155	10184809	5971031	MV005349340000		Feature Film	Color	en	Godzilla			Godzilla 3D
MV005349350000	135156	10184809	5971032	MV005349350000		Feature Film	Color	en	Godzilla	Godzilla-IMAX 3D		Godzilla: An IMAX 3D Experience
MV005359320000	135221	10414860	5977553	MV005359320000	PT01H48M	Feature Film	Color	en	Rail Man	Railway Man		The Railway Man
MV005428330000	135632	10477701	6040412	MV005428330000	PT01H53M	Feature Film	Color	en	God's Not			God's Not Dead
MV005441870000	135794	10173144	6053151	MV005441870000	PT01H31M	Feature Film	Color	en	Mr Pb 3D	Mr. Peabdy 3D		Mr. Peabody & Sherman 3D
MV005121590000	135904	10205083	5767692	MV005121590000	PT01H45M	Feature Film	Color	en				Oculus
MV005477120000	136137	10521084	6083812	MV005477120000	PT01H39M	Feature Film	Color	en	Moms Out	Moms' Night		Moms' Night Out
MV005506530000	136540	10230650	6119619	MV005506530000	PT01H41M	Feature Film	Color	en				Rio 2 3D
MV005520720000	136667	9895254	6131442	MV005520720000	PT02H15M	Feature Film	Color	en	Capt Amer	Capt. America 3D	Captain America: Winter 3D	Captain America: The Winter Soldier 3D
MV005576410000	137195	10631237	6194017	MV005576410000	PT02H15M	Feature Film	Color	hi				2 States
MV005601650000	137549	10086642	6215288	MV005601650000		Feature Film	Color	en	Maleficent	Maleficent-IMX	Maleficent: IMAX 3D Exp	Maleficent: An IMAX 3D Experience
MV005604820000	137590	10503143	6065863	MV005604820000	PT02H28M	Feature Film	Color	id	Raid 2	Raid: Berandal		The Raid 2: Berandal
MV005638840000	137872	10679253	6242047	MV005638840000	PT01H24M	Feature Film	Color	en	God Is Not			God Is Not Dead!
MV005649510000	138049	10685449	6248244	MV005649510000	PT02H42M	Feature Film	Color	te	Race Gur			Race Gurram
MV005565830000	138121	10623535	6186312	MV005565830000	PT01H30M	Feature Film	Color	en	Lgnd Oz	Legends of Oz	Legends of Oz: Dorothy	Legends of Oz: Dorothy's Return
MV005565840000	138122	10623535	6186313	MV005565840000	PT01H30M	Feature Film	Color	en	Legnds 3D	Legends-Oz 3D	Legends of Oz: Dorothy 3D	Legends of Oz: Dorothy's Return 3D
MV005707920000	138814	10744531	6307336	MV005707920000		Feature Film	Color	te				Anaamika
MV005708410000	138822	10744966	6307771	MV005708410000		Feature Film	Color	te	Kotha Jan			Kotha Janta
